nh=247575781 anf=bcd+abe+bde+abf+abg+deg+afg
nh=0 anf=abc+abd+acd+abe+ace+bce+ade+bde+bcde+bcf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247592014 anf=abd+acd+abe+bce+ade+bcde+bcf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247595710 anf=abd+acd+bcd+abe+ace+bce+ade+cde+bcde+abf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+bcd+abe+ace+bce+ade+bde+bcde+abf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247580661 anf=abd+acd+bcd+abe+ace+bce+ade+bcde+abf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ace+bce+ade+bde+cde+bcde+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+bcd+abe+ace+ade+cde+bcde+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+ade+bde+bcde+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596023 anf=abd+abe+bce+ade+bcde+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+bcd+abe+ace+bde+cde+bcde+abf+bcf+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596790 anf=abd+abe+bce+bde+bcde+abf+bcf+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247597566 anf=abc+abd+acd+bcd+abe+ace+bce+bde+bcde+bcf+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247598868 anf=abc+abd+acd+abe+ace+bce+bde+cde+bcde+abf+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591564 anf=abd+bcd+abe+ace+bce+bcde+abf+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+abe+bce+bde+cde+bcde+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247589498 anf=abc+abd+acd+bcd+abe+ace+bde+bcde+abcf+adf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247593112 anf=abd+acd+abe+ace+ade+bde+cde+bcde+abf+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+bcd+abe+bce+ade+bde+bcde+abf+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247594210 anf=abd+bcd+abe+ace+ade+bcde+abf+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247593025 anf=abd+acd+bcd+abe+bce+ade+bde+cde+bcde+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+bcd+abe+ace+bce+ade+cde+bcde+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247583712 anf=abe+cde+bcde+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+ade+bde+bcde+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247593625 anf=abe+bcde+bcf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591853 anf=abd+acd+bcd+abe+ace+bce+ade+cde+bcde+abf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+abe+ace+ade+cde+bcde+abf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247586675 anf=abc+abd+acd+abe+ade+bde+bcde+abf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247586758 anf=bcd+abe+ace+bce+bcde+abf+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ace+ade+bde+cde+bcde+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+bcd+abe+bce+cde+bcde+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247589874 anf=abd+acd+bcd+abe+ace+ade+bde+bcde+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591765 anf=abe+bce+bcde+abcf+cdf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596979 anf=abc+abd+acd+bcd+abe+ace+bce+cde+bcde+abf+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247598644 anf=abc+abd+acd+abe+ace+bce+bde+bcde+abf+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+bcd+abe+ace+bde+bcde+abf+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+bcde+abf+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+bde+cde+bcde+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247594367 anf=abc+abd+acd+abe+ace+cde+bcde+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+abe+ace+bce+bde+bcde+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247581415 anf=abc+abd+bcd+abe+bde+bcde+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247602499 anf=abd+acd+abe+bcde+bcf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+bcd+abe+bde+cde+bcde+abf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247593031 anf=abd+acd+bcd+abe+bce+cde+bcde+abf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596065 anf=abd+acd+abe+ace+bce+bde+bcde+abf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247590279 anf=abd+acd+bcd+abe+ace+bce+bcde+abf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+bce+bcde+abf+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+bce+bde+cde+bcde+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+abe+bde+cde+bcde+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247586645 anf=abc+abd+abe+ace+cde+bcde+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591218 anf=abc+abd+bcd+abe+bce+bde+bcde+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+bcd+abe+ace+bce+bcde+abcf+adf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+bcd+abe+ace+bce+ade+bde+cde+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247593923 anf=abd+acd+abe+ace+ade+bde+cde+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ace+bce+ade+cde+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247592520 anf=abd+acd+bcd+abe+ade+cde+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247597493 anf=abc+abd+acd+abe+ace+bce+ade+bde+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247600841 anf=abd+abe+ace+ade+bde+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247588200 anf=abd+bcd+abe+bce+ade+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+abe+ade+bcde+abf+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+bce+ade+bde+cde+bcde+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
